,brands,prices
0,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Blue)",₹477
1,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),₹199
2,HP X1000 Wired Mouse (Black/Grey),₹349
3,"Lenovo 300 Wired USB Mouse, GX30M39704",₹299
4,"Logitech M90 Wired USB Mouse, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",₹299
5,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),₹199
6,"RiaTech Extended Mouse Pad with Stitched Embroidery Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC-(600 x 300 x 2mm, Green)",₹449
7,"Xmate Zorro Wired USB Gaming Mouse, 3200 DPI Optical Sensor, RGB Lighting, 6 Mechanical Buttons, Lightweight & Durable Mouse for PC/Laptop/Mac - (Black)",₹499
8,iBall Style 63 Optical Mouse (Black),₹265
9,Quantum QHM222 3-Button 1000DPI Wired Optical Mouse (Black),₹152
10,Dell MS116 1000DPI USB Wired Optical Mouse,₹404
11,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,₹218
12,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Blue)",₹477
13,Dell Ms116 275-BBCB Optical Mouse,₹381
14,HP USB X500 Wired Optical Sensor Mouse 3 Buttons Windows 8 Supported,₹440
15,Zebronics Zeb-Comfort+ Wired Mouse,₹225
16,Zebronics Zeb-Rise Wired USB Optical Mouse with 3 Buttons (Black),₹124
17,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, 7025)",₹196
18,Golden Feather Anti Skid Marvel Avengers Super Heroes Designer Mouse pad for laptops and Computers Gaming Mousepad (Spiderman 2),₹189
19,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, 12788)",₹196
20,"Cables Kart Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC,",₹210
21,"RiaTech 2 Pack Mouse Pad, Water Resistance Coating Natural Rubber Gaming Mouse Pad with Stitched Embroidery Edges & Non-Slippery Rubber Base -(250mm x 210mm x 2mm) - Black with Green Border",₹369
22,"iBall FreeGo G20 High Speed Wireless Optical Mouse, Black",₹410
23,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, (7026)",₹196
24,Terabyte 3D Optical Wired USB Mouse in Black,₹109
25,"RiaTech 2 Pack Mouse Pad, Water Resistance Coating Natural Rubber Gaming Mouse Pad with Stitched Embroidery Edges & Non-Slippery Rubber Base -(250mm x 210mm x 2mm) - Black with Red Border",₹369
26,"Xmate Rio Wired USB Gaming Mouse, Led Backlit, 6 Button, 7 Color Breathing Lights, High Ergonomic Mouse, Durable ABS Body for Computer PC & Laptop, 1.5M Nylon Braided Cable (Black)",₹399
27,Studio Shubham Amazing Earth Round Anti Skid Mouse pad for Laptop/Mouse pad for Computer/Mouse pad for Gaming/Mouse Pads for pc,₹199
28,PAPER PLANE DESIGN Anti Skid Designer Mouse pad for laptops and Computers.,₹124
29,"Zebronics USB Comfort + Wired Optical Mouse (USB, Black) | Mobiles | PC | Laptop",₹210
,brands,prices
0,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Blue)",₹477
1,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),₹199
2,HP X1000 Wired Mouse (Black/Grey),₹349
3,"Lenovo 300 Wired USB Mouse, GX30M39704",₹299
4,"Logitech M90 Wired USB Mouse, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",₹299
5,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),₹199
6,"RiaTech Extended Mouse Pad with Stitched Embroidery Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC-(600 x 300 x 2mm, Green)",₹449
7,"Xmate Zorro Wired USB Gaming Mouse, 3200 DPI Optical Sensor, RGB Lighting, 6 Mechanical Buttons, Lightweight & Durable Mouse for PC/Laptop/Mac - (Black)",₹499
8,iBall Style 63 Optical Mouse (Black),₹265
9,Quantum QHM222 3-Button 1000DPI Wired Optical Mouse (Black),₹152
10,Dell MS116 1000DPI USB Wired Optical Mouse,₹404
11,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,₹218
12,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Blue)",₹477
13,Dell Ms116 275-BBCB Optical Mouse,₹381
14,HP USB X500 Wired Optical Sensor Mouse 3 Buttons Windows 8 Supported,₹440
15,Zebronics Zeb-Comfort+ Wired Mouse,₹225
16,Zebronics Zeb-Rise Wired USB Optical Mouse with 3 Buttons (Black),₹124
17,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, 7025)",₹196
18,Golden Feather Anti Skid Marvel Avengers Super Heroes Designer Mouse pad for laptops and Computers Gaming Mousepad (Spiderman 2),₹189
19,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, 12788)",₹196
20,"Cables Kart Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC,",₹210
21,"RiaTech 2 Pack Mouse Pad, Water Resistance Coating Natural Rubber Gaming Mouse Pad with Stitched Embroidery Edges & Non-Slippery Rubber Base -(250mm x 210mm x 2mm) - Black with Green Border",₹369
22,"iBall FreeGo G20 High Speed Wireless Optical Mouse, Black",₹410
23,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, (7026)",₹196
24,Terabyte 3D Optical Wired USB Mouse in Black,₹109
25,"RiaTech 2 Pack Mouse Pad, Water Resistance Coating Natural Rubber Gaming Mouse Pad with Stitched Embroidery Edges & Non-Slippery Rubber Base -(250mm x 210mm x 2mm) - Black with Red Border",₹369
26,"Xmate Rio Wired USB Gaming Mouse, Led Backlit, 6 Button, 7 Color Breathing Lights, High Ergonomic Mouse, Durable ABS Body for Computer PC & Laptop, 1.5M Nylon Braided Cable (Black)",₹399
27,Studio Shubham Amazing Earth Round Anti Skid Mouse pad for Laptop/Mouse pad for Computer/Mouse pad for Gaming/Mouse Pads for pc,₹199
28,PAPER PLANE DESIGN Anti Skid Designer Mouse pad for laptops and Computers.,₹124
29,"Zebronics USB Comfort + Wired Optical Mouse (USB, Black) | Mobiles | PC | Laptop",₹210
